Film,Award,Year of Release,Meta Critic
Patton,Winner,1970,91
Airport,Nominee,1970,42
Five Easy Pieces,Nominee,1970,85
Love Story,Nominee,1970,84
M*A*S*H,Nominee,1970,80
The French Connection,Winner,1971,94
A Clockwork Orange,Nominee,1971,80
Fiddler on the Roof,Nominee,1971,67
The Last Picture Show,Nominee,1971,93
Nicholas and Alexandra,Nominee,1971,-5
The Godfather,Winner,1972,100
Cabaret,Nominee,1972,80
Deliverance,Nominee,1972,82
The Emigrants,Nominee,1972,-5
Sounder,Nominee,1972,80
The Sting,Winner,1973,83
American Graffiti,Nominee,1973,97
Cries and Whispers,Nominee,1973,-5
The Exorcist,Nominee,1973,81
A Touch of Class,Nominee,1973,-5
The Godfather Part II,Winner,1974,90
Chinatown,Nominee,1974,92
The Conversation,Nominee,1974,85
Lenny,Nominee,1974,61
The Towering Inferno,Nominee,1974,69
One Flew Over the Cuckoo's Nest,Winner,1975,83
Barry Lyndon,Nominee,1975,89
Dog Day Afternoon,Nominee,1975,86
Jaws,Nominee,1975,87
Nashville,Nominee,1975,96
Rocky,Winner,1976,70
All the President's Men,Nominee,1976,80
Bound for Glory,Nominee,1976,70
Network,Nominee,1976,83
Taxi Driver,Nominee,1976,94
Annie Hall,Winner,1977,92
The Goodbye Girl,Nominee,1977,64
Julia,Nominee,1977,62
Star Wars,Nominee,1977,90
The Turning Point,Nominee,1977,68
The Deer Hunter,Winner,1978,86
Coming Home,Nominee,1978,81
Heaven Can Wait,Nominee,1978,72
Midnight Express,Nominee,1978,59
An Unmarried Woman,Nominee,1978,79
Kramer vs. Kramer,Winner,1979,77
All That Jazz,Nominee,1979,72
Apocalypse Now,Nominee,1979,94
Breaking Away,Nominee,1979,91
Norma Rae,Nominee,1979,61
Ordinary People,Winner,1980,87
Coal Miner's Daughter,Nominee,1980,87
The Elephant Man,Nominee,1980,77
Raging Bull,Nominee,1980,89
Tess,Nominee,1980,82
Chariots of Fire,Winner,1981,78
