Year,MetaCritic
1990,72
1990,74
1990,52
1990,60
1990,89
1991,85
1991,95
1991,80
1991,72
1991,65
1992,85
1992,90
1992,62
1992,89
1992,59
1993,94
1993,87
1993,84
1993,89
1993,84
1994,82
1994,81
1994,94
1994,88
1994,80
1995,68
1995,77
1995,83
1995,81
1995,84
1996,87
1996,85
1996,77
1996,91
1996,87
1997,75
1997,67
1997,75
1997,70
1997,90
1998,87
1998,75
1998,59
1998,91
1998,78
1999,86
1999,75
1999,61
1999,84
1999,64
2000,67
2000,64
2000,93
2000,73
2000,86
2001,72
2001,90
2001,86
2001,92
2001,66
2002,82
2002,72
2002,80
2002,87
2002,85
2003,94
2003,89
2003,81
2003,84
2003,72
2004,86
2004,77
2004,67
2004,73
2004,94
2005,66
2005,87
2005,88
2005,80
2005,74
2006,85
2006,69
2006,89
2006,80
2006,91
2007,91
2007,85
2007,81
2007,82
2007,93
2008,86
2008,70
2008,80
2008,84
2008,58
2009,95
2009,83
2009,53
2009,81
2009,85
2009,69
2009,79
2009,79
2009,88
2009,83
2010,88
2010,82
2010,79
2010,79
2010,74
2010,86
2010,95
2010,92
2010,80
2010,90
2011,89
2011,84
2011,46
2011,62
2011,83
2011,81
2011,87
2011,85
2011,72
2012,86
2012,94
2012,86
2012,81
2012,79
2012,86
2012,63
2012,81
2012,95
2013,96
2013,90
2013,83
2013,84
2013,96
2013,90
2013,86
2013,77
2013,75
2014,87
2014,72
2014,100
2014,88
2014,73
2014,88
2014,72
2014,88
2015,93
2015,81
2015,81
2015,88
2015,90
2015,80
2015,76
2015,86
2016,99
2016,81
2016,79
2016,71
2016,88
2016,74
2016,93
2016,69
2016,96
2017,87
2017,93
2017,75
2017,94
2017,84
2017,94
2017,90
2017,83
2017,88
2018,69
2018,88
2018,83
2018,49
2018,90
2018,96
2018,59
2018,61
2019,96
2019,78
2019,81
2019,94
2019,58
2019,59
2019,91
2019,94
2019,84
2020,93
2020,88
2020,85
2020,79
2020,89
2020,73
2020,82
2020,76
2021,0
