Film,Award,Highest,Shared,Year,MetaCritic
Dances with Wolves,Winner,No,1,1990,72
Awakenings,Nominee,No,1,1990,74
Ghost,Nominee,No,1,1990,52
The Godfather Part III,Nominee,No,1,1990,60
Goodfellas,Nominee,Yes,1,1990,89
The Silence of the Lambs,Winner,No,1,1991,85
Beauty and the Beast,Nominee,Yes,1,1991,95
Bugsy,Nominee,No,1,1991,80
JFK,Nominee,No,1,1991,72
The Prince of Tides,Nominee,No,1,1991,65
Unforgiven,Winner,No,1,1992,85
The Crying Game,Nominee,Yes,1,1992,90
A Few Good Men,Nominee,No,1,1992,62
Howards End,Nominee,No,1,1992,89
Scent of a Woman,Nominee,No,1,1992,59
Schindler's List,Winner,Yes,1,1993,94
The Fugitive,Nominee,No,1,1993,87
In the Name of the Father,Nominee,No,2,1993,84
The Piano,Nominee,No,1,1993,89
The Remains of the Day,Nominee,No,2,1993,84
Forrest Gump,Winner,No,1,1994,82
Four Weddings and a Funeral,Nominee,No,1,1994,81
Pulp Fiction,Nominee,Yes,1,1994,94
Quiz Show,Nominee,No,1,1994,88
The Shawshank Redemption,Nominee,No,1,1994,80
Braveheart,Winner,No,1,1995,68
Apollo 13,Nominee,No,1,1995,77
Babe,Nominee,No,1,1995,83
The Postman (Il Postino),Nominee,No,1,1995,81
Sense and Sensibility,Nominee,Yes,1,1995,84
The English Patient,Winner,No,2,1996,87
Fargo,Nominee,No,1,1996,85
Jerry Maguire,Nominee,No,1,1996,77
Secrets & Lies,Nominee,Yes,1,1996,91
Shine,Nominee,No,2,1996,87
Titanic,Winner,No,2,1997,75
As Good as It Gets,Nominee,No,1,1997,67
The Full Monty,Nominee,No,2,1997,75
Good Will Hunting,Nominee,No,1,1997,70
L.A. Confidential,Nominee,Yes,1,1997,90
Shakespeare in Love,Winner,No,1,1998,87
Elizabeth,Nominee,No,1,1998,75
Life Is Beautiful,Nominee,No,1,1998,59
Saving Private Ryan,Nominee,Yes,1,1998,91
The Thin Red Line,Nominee,No,1,1998,78
American Beauty,Winner,Yes,1,1999,86
The Cider House Rules,Nominee,No,1,1999,75
The Green Mile,Nominee,No,1,1999,61
The Insider,Nominee,No,1,1999,84
The Sixth Sense,Nominee,No,1,1999,64
Gladiator,Winner,No,1,2000,67
Chocolat,Nominee,No,1,2000,64
"Crouching Tiger, Hidden Dragon",Nominee,Yes,1,2000,93
Erin Brockovich,Nominee,No,1,2000,73
Traffic,Nominee,No,1,2000,86
A Beautiful Mind,Winner,No,1,2001,72
Gosford Park,Nominee,No,1,2001,90
In the Bedroom,Nominee,No,1,2001,86
The Lord of the Rings: The Fellowship of the Ring,Nominee,Yes,1,2001,92
Moulin Rouge!,Nominee,No,1,2001,66
Chicago,Winner,No,1,2002,82
Gangs of New York,Nominee,No,1,2002,72
