,Film,Award,Highest,Shared,Year,MetaCritic
0,Dances with Wolves,Winner,No,1,1990,86
1,Awakenings,Nominee,No,1,1990,86
2,Ghost,Nominee,No,1,1990,87
3,The Godfather Part III,Nominee,No,1,1990,79
4,Goodfellas,Nominee,Yes,1,1990,89
5,The Silence of the Lambs,Winner,Yes,1,1991,88
6,Beauty and the Beast,Nominee,No,1,1991,85
7,Bugsy,Nominee,No,1,1991,72
8,JFK,Nominee,No,1,1991,84
9,The Prince of Tides,Nominee,No,1,1991,85
10,Unforgiven,Winner,No,1,1992,83
11,The Crying Game,Nominee,Yes,1,1992,77
12,A Few Good Men,Nominee,No,1,1992,79
13,Howards End,Nominee,No,1,1992,84
14,Scent of a Woman,Nominee,No,1,1992,87
15,Schindler's List,Winner,No,1,1993,87
16,The Fugitive,Nominee,No,1,1993,88
17,In the Name of the Father,Nominee,No,2,1993,81
18,The Piano,Nominee,No,1,1993,80
19,The Remains of the Day,Nominee,No,2,1993,84
20,Forrest Gump,Winner,No,1,1994,77
21,Four Weddings and a Funeral,Nominee,No,1,1994,81
22,Pulp Fiction,Nominee,Yes,1,1994,91
23,Quiz Show,Nominee,No,1,1994,85
24,The Shawshank Redemption,Nominee,No,1,1994,89
25,Braveheart,Winner,Yes,1,1995,87
26,Apollo 13,Nominee,No,1,1995,80
27,Babe,Nominee,No,1,1995,78
28,The Postman (Il Postino),Nominee,No,1,1995,82
29,Sense and Sensibility,Nominee,No,1,1995,83
30,The English Patient,Winner,No,2,1996,74
31,Fargo,Nominee,No,1,1996,87
32,Jerry Maguire,Nominee,No,1,1996,85
33,Secrets & Lies,Nominee,Yes,1,1996,83
34,Shine,Nominee,No,2,1996,83
35,Titanic,Winner,No,2,1997,85
36,As Good as It Gets,Nominee,No,1,1997,87
37,The Full Monty,Nominee,No,2,1997,78
38,Good Will Hunting,Nominee,No,1,1997,88
39,L.A. Confidential,Nominee,Yes,1,1997,89
40,Shakespeare in Love,Winner,No,1,1998,72
41,Elizabeth,Nominee,No,1,1998,75
42,Life Is Beautiful,Nominee,No,1,1998,77
43,Saving Private Ryan,Nominee,Yes,1,1998,89
44,The Thin Red Line,Nominee,No,1,1998,82
45,American Beauty,Winner,Yes,1,1999,89
46,The Cider House Rules,Nominee,No,1,1999,88
47,The Green Mile,Nominee,No,1,1999,84
48,The Insider,Nominee,No,1,1999,87
49,The Sixth Sense,Nominee,No,1,1999,89
50,Gladiator,Winner,Yes,1,2000,89
51,Chocolat,Nominee,No,1,2000,73
52,"Crouching Tiger, Hidden Dragon",Nominee,No,1,2000,81
53,Erin Brockovich,Nominee,No,1,2000,83
54,Traffic,Nominee,No,1,2000,88
55,A Beautiful Mind,Winner,No,1,2001,81
56,Gosford Park,Nominee,No,1,2001,74
57,In the Bedroom,Nominee,No,1,2001,74
58,The Lord of the Rings: The Fellowship of the Ring,Nominee,Yes,1,2001,91
59,Moulin Rouge!,Nominee,No,1,2001,85
60,Chicago,Winner,No,1,2002,80
61,Gangs of New York,Nominee,No,1,2002,77
62,The Hours,Nominee,No,1,2002,87
63,The Lord of the Rings: The Two Towers,Nominee,Yes,1,2002,90
64,The Pianist,Nominee,No,1,2002,78
65,The Lord of the Rings: The Return of the King,Winner,Yes,1,2003,91
66,Lost in Translation,Nominee,No,1,2003,75
67,Master and Commander: The Far Side of the World,Nominee,No,1,2003,64
68,Mystic River,Nominee,No,1,2003,70
69,Seabiscuit,Nominee,No,1,2003,73
70,Million Dollar Baby,Winner,No,1,2004,75
71,The Aviator,Nominee,No,1,2004,86
72,Finding Neverland,Nominee,No,1,2004,79
73,Ray,Nominee,No,1,2004,87
74,Sideways,Nominee,Yes,1,2004,71
75,Crash,Winner,Yes,1,2005,85
