Film,Award,Highest,Shared,Year,MetaCritic
Dances with Wolves,Winner,No,1,1990,83
Awakenings,Nominee,No,1,1990,88
Ghost,Nominee,No,1,1990,74
The Godfather Part III,Nominee,No,1,1990,67
Goodfellas,Nominee,Yes,1,1990,96
The Silence of the Lambs,Winner,Yes,1,1991,96
Beauty and the Beast,Nominee,No,1,1991,94
Bugsy,Nominee,No,1,1991,85
JFK,Nominee,No,1,1991,84
The Prince of Tides,Nominee,No,1,1991,69
Unforgiven,Winner,No,1,1992,96
The Crying Game,Nominee,Yes,1,1992,94
A Few Good Men,Nominee,No,1,1992,83
Howards End,Nominee,No,1,1992,94
Scent of a Woman,Nominee,No,1,1992,89
Schindler's List,Winner,No,1,1993,97
The Fugitive,Nominee,No,1,1993,96
In the Name of the Father,Nominee,No,2,1993,94
The Piano,Nominee,No,1,1993,92
The Remains of the Day,Nominee,No,2,1993,95
Forrest Gump,Winner,No,1,1994,71
Four Weddings and a Funeral,Nominee,No,1,1994,96
Pulp Fiction,Nominee,Yes,1,1994,92
Quiz Show,Nominee,No,1,1994,96
The Shawshank Redemption,Nominee,No,1,1994,91
Braveheart,Winner,Yes,1,1995,78
Apollo 13,Nominee,No,1,1995,96
Babe,Nominee,No,1,1995,97
The Postman (Il Postino),Nominee,No,1,1995,94
Sense and Sensibility,Nominee,No,1,1995,97
The English Patient,Winner,No,2,1996,85
Fargo,Nominee,No,1,1996,94
Jerry Maguire,Nominee,No,1,1996,84
Secrets & Lies,Nominee,Yes,1,1996,95
Shine,Nominee,No,2,1996,91
Titanic,Winner,No,2,1997,89
As Good as It Gets,Nominee,No,1,1997,85
The Full Monty,Nominee,No,2,1997,96
Good Will Hunting,Nominee,No,1,1997,97
L.A. Confidential,Nominee,Yes,1,1997,99
Shakespeare in Love,Winner,No,1,1998,92
Elizabeth,Nominee,No,1,1998,82
Life Is Beautiful,Nominee,No,1,1998,80
Saving Private Ryan,Nominee,Yes,1,1998,93
The Thin Red Line,Nominee,No,1,1998,80
American Beauty,Winner,Yes,1,1999,87
The Cider House Rules,Nominee,No,1,1999,71
The Green Mile,Nominee,No,1,1999,78
The Insider,Nominee,No,1,1999,96
The Sixth Sense,Nominee,No,1,1999,86
Gladiator,Winner,Yes,1,2000,77
Chocolat,Nominee,No,1,2000,62
"Crouching Tiger, Hidden Dragon",Nominee,No,1,2000,97
Erin Brockovich,Nominee,No,1,2000,84
Traffic,Nominee,No,1,2000,93
A Beautiful Mind,Winner,No,1,2001,74
Gosford Park,Nominee,No,1,2001,86
In the Bedroom,Nominee,No,1,2001,93
The Lord of the Rings: The Fellowship of the Ring,Nominee,Yes,1,2001,91
Moulin Rouge!,Nominee,No,1,2001,76
Chicago,Winner,No,1,2002,86
Gangs of New York,Nominee,No,1,2002,73
The Hours,Nominee,No,1,2002,80
The Lord of the Rings: The Two Towers,Nominee,Yes,1,2002,95
The Pianist,Nominee,No,1,2002,95
The Lord of the Rings: The Return of the King,Winner,Yes,1,2003,93
Lost in Translation,Nominee,No,1,2003,95
Master and Commander: The Far Side of the World,Nominee,No,1,2003,85
Mystic River,Nominee,No,1,2003,88
Seabiscuit,Nominee,No,1,2003,78
Million Dollar Baby,Winner,No,1,2004,91
The Aviator,Nominee,No,1,2004,86
Finding Neverland,Nominee,No,1,2004,83
Ray,Nominee,No,1,2004,80
Sideways,Nominee,Yes,1,2004,97
Crash,Winner,Yes,1,2005,74
Brokeback Mountain,Nominee,No,1,2005,87
Capote,Nominee,No,1,2005,90
"Good Night, and Good Luck",Nominee,No,1,2005,93
Munich,Nominee,No,1,2005,78
The Departed,Winner,No,1,2006,91
Babel,Nominee,No,1,2006,69
Letters from Iwo Jima,Nominee,No,1,2006,91
Little Miss Sunshine,Nominee,No,1,2006,91
The Queen,Nominee,Yes,1,2006,96
No Country for Old Men,Winner,No,1,2007,93
Atonement,Nominee,No,1,2007,83
Juno,Nominee,No,1,2007,94
Michael Clayton,Nominee,No,1,2007,91
There Will Be Blood,Nominee,Yes,1,2007,92
Slumdog Millionaire,Winner,Yes,1,2008,91
The Curious Case of Benjamin Button,Nominee,No,1,2008,72
Frost/Nixon,Nominee,No,1,2008,93
Milk,Nominee,No,1,2008,93
The Reader,Nominee,No,1,2008,63
The Hurt Locker,Winner,No,1,2009,97
Avatar,Nominee,No,2,2009,82
The Blind Side,Nominee,No,1,2009,66
District 9,Nominee,No,1,2009,90
An Education,Nominee,No,1,2009,94
Inglourious Basterds,Nominee,No,1,2009,89
Precious: Based on the Novel 'Push' by Sapphire,Nominee,No,2,2009,92
A Serious Man,Nominee,No,2,2009,90
Up,Nominee,No,1,2009,98
Up in the Air,Nominee,No,2,2009,91
The King's Speech,Winner,No,1,2010,94
127 Hours,Nominee,No,1,2010,93
Black Swan,Nominee,No,2,2010,85
The Fighter,Nominee,No,2,2010,90
Inception,Nominee,No,1,2010,87
The Kids Are All Right,Nominee,No,1,2010,92
The Social Network,Nominee,Yes,1,2010,96
Toy Story 3,Nominee,No,1,2010,98
True Grit,Nominee,No,1,2010,96
Winter's Bone,Nominee,No,1,2010,94
The Artist,Winner,Yes,1,2011,95
The Descendants,Nominee,No,1,2011,88
Extremely Loud & Incredibly Close,Nominee,No,1,2011,45
The Help,Nominee,No,1,2011,76
Hugo,Nominee,No,1,2011,93
Midnight in Paris,Nominee,No,1,2011,93
Moneyball,Nominee,No,1,2011,94
The Tree of Life,Nominee,No,1,2011,85
War Horse,Nominee,No,1,2011,75
Argo,Winner,No,3,2012,96
Amour,Nominee,No,1,2012,93
Beasts of the Southern Wild,Nominee,No,3,2012,87
Django Unchained,Nominee,No,2,2012,87
Life of Pi,Nominee,No,1,2012,87
Lincoln,Nominee,No,3,2012,89
Les Misérables,Nominee,No,1,2012,69
Silver Linings Playbook,Nominee,No,2,2012,92
Zero Dark Thirty,Nominee,Yes,1,2012,91
American Hustle,Nominee,No,2,2013,95
Captain Phillips,Nominee,No,1,2013,92
Dallas Buyers Club,Nominee,No,1,2013,93
Gravity,Nominee,Yes,2,2013,93
12 Years a Slave,Winner,No,2,2013,96
Her,Nominee,No,2,2013,95
Nebraska,Nominee,No,1,2013,91
Philomena,Nominee,No,1,2013,90
The Wolf of Wall Street,Nominee,No,1,2013,80
Birdman or (The Unexpected Virtue of Ignorance),Winner,No,1,2014,91
American Sniper,Nominee,No,1,2014,72
Boyhood,Nominee,Yes,1,2014,97
The Grand Budapest Hotel,Nominee,No,3,2014,91
The Imitation Game,Nominee,No,1,2014,89
Selma,Nominee,No,3,2014,99
