Film,Award,Highest,Shared,Year,MetaCritic
Dances with Wolves,Winner,No,1,1990,87
Awakenings,Nominee,No,1,1990,89
Ghost,Nominee,No,1,1990,80
The Godfather Part III,Nominee,No,1,1990,62
Goodfellas,Nominee,Yes,1,1990,97
The Silence of the Lambs,Winner,Yes,1,1991,95
Beauty and the Beast,Nominee,No,1,1991,92
Bugsy,Nominee,No,1,1991,69
JFK,Nominee,No,1,1991,88
The Prince of Tides,Nominee,No,1,1991,70
Unforgiven,Winner,No,1,1992,93
The Crying Game,Nominee,Yes,1,1992,78
A Few Good Men,Nominee,No,1,1992,89
Howards End,Nominee,No,1,1992,82
Scent of a Woman,Nominee,No,1,1992,92
Schindler's List,Winner,No,1,1993,97
The Fugitive,Nominee,No,1,1993,89
In the Name of the Father,Nominee,No,2,1993,95
The Piano,Nominee,No,1,1993,86
The Remains of the Day,Nominee,No,2,1993,89
Forrest Gump,Winner,No,1,1994,95
Four Weddings and a Funeral,Nominee,No,1,1994,74
Pulp Fiction,Nominee,Yes,1,1994,96
Quiz Show,Nominee,No,1,1994,87
The Shawshank Redemption,Nominee,No,1,1994,98
Braveheart,Winner,Yes,1,1995,85
Apollo 13,Nominee,No,1,1995,87
Babe,Nominee,No,1,1995,67
The Postman (Il Postino),Nominee,No,1,1995,94
Sense and Sensibility,Nominee,No,1,1995,90
The English Patient,Winner,No,2,1996,83
Fargo,Nominee,No,1,1996,93
Jerry Maguire,Nominee,No,1,1996,79
Secrets & Lies,Nominee,Yes,1,1996,91
Shine,Nominee,No,2,1996,90
Titanic,Winner,No,2,1997,69
As Good as It Gets,Nominee,No,1,1997,86
The Full Monty,Nominee,No,2,1997,79
Good Will Hunting,Nominee,No,1,1997,94
L.A. Confidential,Nominee,Yes,1,1997,94
Shakespeare in Love,Winner,No,1,1998,80
Elizabeth,Nominee,No,1,1998,86
Life Is Beautiful,Nominee,No,1,1998,96
Saving Private Ryan,Nominee,Yes,1,1998,95
The Thin Red Line,Nominee,No,1,1998,80
American Beauty,Winner,Yes,1,1999,93
The Cider House Rules,Nominee,No,1,1999,77
The Green Mile,Nominee,No,1,1999,94
The Insider,Nominee,No,1,1999,90
The Sixth Sense,Nominee,No,1,1999,90
Gladiator,Winner,Yes,1,2000,87
Chocolat,Nominee,No,1,2000,83
"Crouching Tiger, Hidden Dragon",Nominee,No,1,2000,86
Erin Brockovich,Nominee,No,1,2000,81
Traffic,Nominee,No,1,2000,85
A Beautiful Mind,Winner,No,1,2001,93
Gosford Park,Nominee,No,1,2001,78
In the Bedroom,Nominee,No,1,2001,81
The Lord of the Rings: The Fellowship of the Ring,Nominee,Yes,1,2001,95
Moulin Rouge!,Nominee,No,1,2001,89
Chicago,Winner,No,1,2002,83
Gangs of New York,Nominee,No,1,2002,81
The Hours,Nominee,No,1,2002,84
The Lord of the Rings: The Two Towers,Nominee,Yes,1,2002,95
The Pianist,Nominee,No,1,2002,96
The Lord of the Rings: The Return of the King,Winner,Yes,1,2003,86
Lost in Translation,Nominee,No,1,2003,85
Master and Commander: The Far Side of the World,Nominee,No,1,2003,80
Mystic River,Nominee,No,1,2003,89
Seabiscuit,Nominee,No,1,2003,76
Million Dollar Baby,Winner,No,1,2004,90
The Aviator,Nominee,No,1,2004,79
Finding Neverland,Nominee,No,1,2004,87
Ray,Nominee,No,1,2004,87
Sideways,Nominee,Yes,1,2004,79
Crash,Winner,Yes,1,2005,88
Brokeback Mountain,Nominee,No,1,2005,82
Capote,Nominee,No,1,2005,82
"Good Night, and Good Luck",Nominee,No,1,2005,83
Munich,Nominee,No,1,2005,83
The Departed,Winner,No,1,2006,94
Babel,Nominee,No,1,2006,77
Letters from Iwo Jima,Nominee,No,1,2006,86
Little Miss Sunshine,Nominee,No,1,2006,91
The Queen,Nominee,Yes,1,2006,76
No Country for Old Men,Winner,No,1,2007,86
Atonement,Nominee,No,1,2007,80
Juno,Nominee,No,1,2007,88
Michael Clayton,Nominee,No,1,2007,69
There Will Be Blood,Nominee,Yes,1,2007,86
Slumdog Millionaire,Winner,Yes,1,2008,90
The Curious Case of Benjamin Button,Nominee,No,1,2008,80
Frost/Nixon,Nominee,No,1,2008,88
Milk,Nominee,No,1,2008,89
The Reader,Nominee,No,1,2008,79
The Hurt Locker,Winner,No,1,2009,84
Avatar,Nominee,No,2,2009,82
The Blind Side,Nominee,No,1,2009,85
District 9,Nominee,No,1,2009,82
An Education,Nominee,No,1,2009,80
Inglourious Basterds,Nominee,No,1,2009,88
Precious: Based on the Novel 'Push' by Sapphire,Nominee,No,2,2009,81
A Serious Man,Nominee,No,2,2009,68
Up,Nominee,No,1,2009,90
Up in the Air,Nominee,No,2,2009,79
The King's Speech,Winner,No,1,2010,92
127 Hours,Nominee,No,1,2010,85
Black Swan,Nominee,No,2,2010,84
The Fighter,Nominee,No,2,2010,89
Inception,Nominee,No,1,2010,91
The Kids Are All Right,Nominee,No,1,2010,74
The Social Network,Nominee,Yes,1,2010,86
Toy Story 3,Nominee,No,1,2010,89
True Grit,Nominee,No,1,2010,85
Winter's Bone,Nominee,No,1,2010,76
The Artist,Winner,Yes,1,2011,87
The Descendants,Nominee,No,1,2011,79
Extremely Loud & Incredibly Close,Nominee,No,1,2011,61
The Help,Nominee,No,1,2011,89
Hugo,Nominee,No,1,2011,78
Midnight in Paris,Nominee,No,1,2011,83
Moneyball,Nominee,No,1,2011,86
The Tree of Life,Nominee,No,1,2011,60
War Horse,Nominee,No,1,2011,74
Argo,Winner,No,3,2012,90
Amour,Nominee,No,1,2012,82
Beasts of the Southern Wild,Nominee,No,3,2012,76
Django Unchained,Nominee,No,2,2012,91
Life of Pi,Nominee,No,1,2012,84
Lincoln,Nominee,No,3,2012,81
Les Misérables,Nominee,No,1,2012,79
Silver Linings Playbook,Nominee,No,2,2012,86
Zero Dark Thirty,Nominee,Yes,1,2012,80
American Hustle,Nominee,No,2,2013,90
Captain Phillips,Nominee,No,1,2013,74
Dallas Buyers Club,Nominee,No,1,2013,89
Gravity,Nominee,Yes,2,2013,91
12 Years a Slave,Winner,No,2,2013,80
Her,Nominee,No,2,2013,82
Nebraska,Nominee,No,1,2013,83
Philomena,Nominee,No,1,2013,89
The Wolf of Wall Street,Nominee,No,1,2013,83
Birdman or (The Unexpected Virtue of Ignorance),Winner,No,1,2014,78
American Sniper,Nominee,No,1,2014,84
Boyhood,Nominee,Yes,1,2014,81
The Grand Budapest Hotel,Nominee,No,3,2014,86
The Imitation Game,Nominee,No,1,2014,91
Selma,Nominee,No,3,2014,86
The Theory of Everything,Nominee,No,1,2014,84
Whiplash,Nominee,No,3,2014,94
Spotlight,Winner,No,1,2015,93
The Big Short,Nominee,No,2,2015,88
Bridge of Spies,Nominee,No,2,2015,87
Brooklyn,Nominee,No,1,2015,87
Mad Max: Fury Road,Nominee,No,1,2015,85
The Martian,Nominee,No,1,2015,91
The Revenant,Nominee,No,1,2015,84
Room,Nominee,No,1,2015,93
Moonlight,Winner,No,1,2016,79
Arrival,Nominee,No,1,2016,82
Fences,Nominee,No,1,2016,75
Hacksaw Ridge,Nominee,No,1,2016,91
Hell or High Water,Nominee,No,1,2016,88
Hidden Figures,Nominee,No,1,2016,93
La La Land,Nominee,No,1,2016,81
Lion,Nominee,No,1,2016,91
Manchester by the Sea,Nominee,No,1,2016,78
The Shape of Water,Winner,No,1,2017,72
Call Me by Your Name,Nominee,No,1,2017,86
Darkest Hour,Nominee,No,1,2017,82
Dunkirk,Nominee,Yes,2,2017,81
Get Out,Nominee,No,1,2017,86
Lady Bird,Nominee,Yes,2,2017,79
Phantom Thread,Nominee,No,1,2017,71
The Post,Nominee,No,1,2017,73
"Three Billboards Outside Ebbing, Missouri",Nominee,No,1,2017,87
Green Book,Winner,No,1,2018,91
Black Panther,Nominee,No,1,2018,79
BlacKkKlansman,Nominee,No,1,2018,83
Bohemian Rhapsody,Nominee,No,1,2018,85
The Favourite,Nominee,No,1,2018,69
Roma,Nominee,Yes,1,2018,72
A Star Is Born,Nominee,No,1,2018,79
Vice,Nominee,No,1,2018,60
Parasite,Winner,No,1,2019,90
1917,Nominee,No,1,2019,88
Ford v Ferrari,Nominee,No,1,2019,98
The Irishman,Nominee,No,2,2019,86
Jojo Rabbit,Nominee,No,1,2019,94
Joker,Nominee,No,1,2019,88
Little Women,Nominee,No,1,2019,92
Marriage Story,Nominee,No,2,2019,85
Once Upon a Time in Hollywood,Nominee,No,1,2019,70
Nomadland,Winner,No,1,2020,82
The Father,Nominee,No,1,2020,92
Judas and the Black Messiah,Nominee,No,1,2020,95
Mank,Nominee,No,1,2020,59
Minari,Nominee,No,1,2020,87
Promising Young Woman,Nominee,No,1,2020,87
Sound of Metal,Nominee,No,1,2020,90
The Trial of the Chicago 7,Nominee,No,1,2020,90
