Film,Award,Highest,Shared,Year,MetaCritic
Dances with Wolves,Winner,No,1,1990,86
Awakenings,Nominee,No,1,1990,86
Ghost,Nominee,No,1,1990,87
The Godfather Part III,Nominee,No,1,1990,79
Goodfellas,Nominee,Yes,1,1990,89
The Silence of the Lambs,Winner,Yes,1,1991,88
Beauty and the Beast,Nominee,No,1,1991,85
Bugsy,Nominee,No,1,1991,72
JFK,Nominee,No,1,1991,84
The Prince of Tides,Nominee,No,1,1991,85
Unforgiven,Winner,No,1,1992,83
The Crying Game,Nominee,Yes,1,1992,77
A Few Good Men,Nominee,No,1,1992,79
Howards End,Nominee,No,1,1992,84
Scent of a Woman,Nominee,No,1,1992,87
Schindler's List,Winner,No,1,1993,87
The Fugitive,Nominee,No,1,1993,88
In the Name of the Father,Nominee,No,2,1993,81
The Piano,Nominee,No,1,1993,80
The Remains of the Day,Nominee,No,2,1993,84
Forrest Gump,Winner,No,1,1994,77
Four Weddings and a Funeral,Nominee,No,1,1994,81
Pulp Fiction,Nominee,Yes,1,1994,91
Quiz Show,Nominee,No,1,1994,85
The Shawshank Redemption,Nominee,No,1,1994,89
Braveheart,Winner,Yes,1,1995,87
Apollo 13,Nominee,No,1,1995,80
Babe,Nominee,No,1,1995,78
The Postman (Il Postino),Nominee,No,1,1995,82
Sense and Sensibility,Nominee,No,1,1995,83
The English Patient,Winner,No,2,1996,74
Fargo,Nominee,No,1,1996,87
Jerry Maguire,Nominee,No,1,1996,85
Secrets & Lies,Nominee,Yes,1,1996,83
Shine,Nominee,No,2,1996,83
L.A. Confidential,Nominee,Yes,1,1997,89
As Good as It Gets,Nominee,No,1,1997,87
The Full Monty,Nominee,No,2,1997,78
Good Will Hunting,Nominee,No,1,1997,88
Titanic,Winner,No,2,1997,85
Shakespeare in Love,Winner,No,1,1998,72
Elizabeth,Nominee,No,1,1998,75
Life Is Beautiful,Nominee,No,1,1998,77
Saving Private Ryan,Nominee,Yes,1,1998,89
The Thin Red Line,Nominee,No,1,1998,82
American Beauty,Winner,Yes,1,1999,89
The Cider House Rules,Nominee,No,1,1999,88
The Green Mile,Nominee,No,1,1999,84
The Insider,Nominee,No,1,1999,87
The Sixth Sense,Nominee,No,1,1999,89
Gladiator,Winner,Yes,1,2000,89
Chocolat,Nominee,No,1,2000,73
"Crouching Tiger, Hidden Dragon",Nominee,No,1,2000,81
Erin Brockovich,Nominee,No,1,2000,83
Traffic,Nominee,No,1,2000,88
A Beautiful Mind,Winner,No,1,2001,81
Gosford Park,Nominee,No,1,2001,74
In the Bedroom,Nominee,No,1,2001,74
